path,label
/content/train_data/rois/1_1.png,Sebastolobus
/content/train_data/rois/2_2.png,Apostichopus leukothele
/content/train_data/rois/3_3.png,Scotoplanes
/content/train_data/rois/4_4.png,Keratoisis
/content/train_data/rois/4_5.png,Keratoisis
/content/train_data/rois/5_6.png,Munnopsidae
/content/train_data/rois/6_7.png,Scotoplanes globosa
/content/train_data/rois/7_8.png,Sebastolobus
/content/train_data/rois/7_9.png,Chionoecetes tanneri
/content/train_data/rois/7_10.png,Sebastolobus
/content/train_data/rois/8_11.png,Hippasteria
/content/train_data/rois/9_12.png,Munidopsis
/content/train_data/rois/9_13.png,Munidopsis
/content/train_data/rois/9_14.png,Munidopsis
/content/train_data/rois/9_15.png,Munidopsis
/content/train_data/rois/9_16.png,Munidopsis
/content/train_data/rois/9_17.png,Munidopsis
/content/train_data/rois/9_18.png,Munidopsis
/content/train_data/rois/9_19.png,Munidopsis
/content/train_data/rois/9_20.png,Munidopsis
/content/train_data/rois/9_21.png,Munidopsis
/content/train_data/rois/9_22.png,Munidopsis
/content/train_data/rois/9_23.png,Munidopsis
/content/train_data/rois/10_24.png,Serpulidae
/content/train_data/rois/10_25.png,Delectopecten
/content/train_data/rois/11_26.png,Crinoidea
/content/train_data/rois/11_27.png,Crinoidea
/content/train_data/rois/11_28.png,Crinoidea
/content/train_data/rois/11_29.png,Crinoidea
/content/train_data/rois/11_30.png,Tunicata
/content/train_data/rois/11_31.png,Crinoidea
/content/train_data/rois/11_32.png,Asteroidea
/content/train_data/rois/11_33.png,Crinoidea
/content/train_data/rois/11_34.png,Pandalus amplus
/content/train_data/rois/11_35.png,Crinoidea
/content/train_data/rois/11_36.png,Crinoidea
/content/train_data/rois/11_37.png,Crinoidea
/content/train_data/rois/12_38.png,Keratoisis
/content/train_data/rois/12_39.png,Keratoisis
/content/train_data/rois/12_40.png,Isidella tentaculum
/content/train_data/rois/12_41.png,Keratoisis
/content/train_data/rois/13_42.png,Scotoplanes globosa
/content/train_data/rois/14_43.png,Holothuroidea
/content/train_data/rois/15_44.png,Paragorgia arborea
/content/train_data/rois/15_45.png,Heterochone calyx
/content/train_data/rois/15_46.png,Paragorgia arborea
/content/train_data/rois/15_47.png,Paragorgia arborea
/content/train_data/rois/15_48.png,Paragorgia arborea
/content/train_data/rois/16_49.png,Sebastolobus
/content/train_data/rois/17_50.png,Paragorgia
/content/train_data/rois/17_51.png,Paragorgia
/content/train_data/rois/17_52.png,Paragorgia
/content/train_data/rois/18_53.png,Terebellidae
/content/train_data/rois/19_54.png,Holothuroidea
/content/train_data/rois/19_55.png,Ophiuroidea
/content/train_data/rois/20_56.png,Ophiuroidea
/content/train_data/rois/20_57.png,Ophiuroidea
/content/train_data/rois/20_58.png,Crinoidea
/content/train_data/rois/21_59.png,Scotoplanes globosa
/content/train_data/rois/21_60.png,Peniagone
/content/train_data/rois/22_61.png,Actiniaria
/content/train_data/rois/22_62.png,Ceriantharia
/content/train_data/rois/23_63.png,Peniagone
/content/train_data/rois/24_64.png,Peniagone
